Subscription_ID,Customer_ID,Plan_Name,Plan_Type,Start_Date,End_Date,Monthly_Charges,Total_Revenue
SUB000051,CUST12734,Premium,Monthly,2020-02-20,2020-03-21,1200,1200
SUB000052,CUST13324,Basic,Monthly,2020-02-21,2020-03-22,500,500
SUB000053,CUST13509,Standard,Monthly,2020-02-22,2020-03-23,800,800
SUB000054,CUST02614,Basic,Yearly,2020-02-23,2021-02-22,500,6000
SUB000055,CUST16869,Premium,Monthly,2020-02-24,2020-03-25,1200,1200
SUB000056,CUST14672,Standard,Monthly,2020-02-25,2020-03-26,800,800
SUB000057,CUST13641,Standard,Monthly,2020-02-26,2020-03-27,800,800
SUB000058,CUST06881,Standard,Monthly,2020-02-27,2020-03-28,800,800
SUB000059,CUST12965,Standard,Monthly,2020-02-28,2020-03-29,800,800
SUB000060,CUST01711,Basic,Yearly,2020-02-29,2021-02-28,500,6000
SUB000061,CUST17545,Basic,Yearly,2020-03-01,2021-03-01,500,6000
SUB000062,CUST06418,Basic,Monthly,2020-03-02,2020-04-01,500,500
SUB000063,CUST16213,Premium,Yearly,2020-03-03,2021-03-03,1200,14400
SUB000064,CUST13996,Premium,Monthly,2020-03-04,2020-04-03,1200,1200
SUB000065,CUST15822,Standard,Yearly,2020-03-05,2021-03-05,800,9600
SUB000066,CUST16615,Premium,Yearly,2020-03-06,2021-03-06,1200,14400
SUB000067,CUST03187,Basic,Monthly,2020-03-07,2020-04-06,500,500
SUB000068,CUST06854,Basic,Monthly,2020-03-08,2020-04-07,500,500
SUB000069,CUST02563,Basic,Monthly,2020-03-09,2020-04-08,500,500
SUB000070,CUST18416,Basic,Yearly,2020-03-10,2021-03-10,500,6000
SUB000071,CUST00112,Basic,Yearly,2020-03-11,2021-03-11,500,6000
SUB000072,CUST19602,Standard,Monthly,2020-03-12,2020-04-11,800,800
SUB000073,CUST13221,Basic,Monthly,2020-03-13,2020-04-12,500,500
SUB000074,CUST05908,Basic,Monthly,2020-03-14,2020-04-13,500,500
SUB000075,CUST06253,Basic,Yearly,2020-03-15,2021-03-15,500,6000
SUB000076,CUST03150,Standard,Monthly,2020-03-16,2020-04-15,800,800
SUB000077,CUST13841,Basic,Monthly,2020-03-17,2020-04-16,500,500
SUB000078,CUST09955,Premium,Monthly,2020-03-18,2020-04-17,1200,1200
SUB000079,CUST01721,Standard,Monthly,2020-03-19,2020-04-18,800,800
SUB000080,CUST18481,Standard,Monthly,2020-03-20,2020-04-19,800,800
SUB000081,CUST14816,Basic,Yearly,2020-03-21,2021-03-21,500,6000
SUB000082,CUST11636,Basic,Yearly,2020-03-22,2021-03-22,500,6000
SUB000083,CUST00522,Basic,Yearly,2020-03-23,2021-03-23,500,6000
SUB000084,CUST11165,Standard,Monthly,2020-03-24,2020-04-23,800,800
SUB000085,CUST02424,Standard,Monthly,2020-03-25,2020-04-24,800,800
SUB000086,CUST05243,Premium,Monthly,2020-03-26,2020-04-25,1200,1200
SUB000087,CUST06732,Basic,Monthly,2020-03-27,2020-04-26,500,500
SUB000088,CUST17019,Basic,Monthly,2020-03-28,2020-04-27,500,500
SUB000089,CUST09365,Basic,Monthly,2020-03-29,2020-04-28,500,500
SUB000090,CUST13313,Standard,Monthly,2020-03-30,2020-04-29,800,800
SUB000091,CUST00367,Standard,Yearly,2020-03-31,2021-03-31,800,9600
SUB000092,CUST06290,Standard,Yearly,2020-04-01,2021-04-01,800,9600
SUB000093,CUST14949,Standard,Monthly,2020-04-02,2020-05-02,800,800
SUB000094,CUST03784,Standard,Monthly,2020-04-03,2020-05-03,800,800
SUB000095,CUST06027,Premium,Yearly,2020-04-04,2021-04-04,1200,14400
SUB000096,CUST11077,Standard,Monthly,2020-04-05,2020-05-05,800,800
SUB000097,CUST03989,Standard,Monthly,2020-04-06,2020-05-06,800,800
SUB000098,CUST12907,Premium,Yearly,2020-04-07,2021-04-07,1200,14400
SUB000099,CUST10709,Standard,Yearly,2020-04-08,2021-04-08,800,9600
SUB000100,CUST12553,Premium,Monthly,2020-04-09,2020-05-09,1200,1200
SUB000101,CUST11610,Basic,Monthly,2020-04-10,2020-05-10,500,500
SUB000102,CUST01804,Premium,Yearly,2020-04-11,2021-04-11,1200,14400
SUB000103,CUST01235,Basic,Yearly,2020-04-12,2021-04-12,500,6000
SUB000104,CUST13305,Premium,Yearly,2020-04-13,2021-04-13,1200,14400
SUB000105,CUST07251,Basic,Monthly,2020-04-14,2020-05-14,500,500
SUB000106,CUST17146,Premium,Yearly,2020-04-15,2021-04-15,1200,14400
SUB000107,CUST08541,Basic,Monthly,2020-04-16,2020-05-16,500,500
SUB000108,CUST00896,Standard,Monthly,2020-04-17,2020-05-17,800,800
SUB000109,CUST15944,Premium,Monthly,2020-04-18,2020-05-18,1200,1200
SUB000110,CUST15238,Standard,Monthly,2020-04-19,2020-05-19,800,800
SUB000111,CUST10144,Premium,Monthly,2020-04-20,2020-05-20,1200,1200
SUB000112,CUST07452,Standard,Yearly,2020-04-21,2021-04-21,800,9600
SUB000113,CUST00331,Basic,Yearly,2020-04-22,2021-04-22,500,6000
SUB000114,CUST03552,Basic,Monthly,2020-04-23,2020-05-23,500,500
SUB000115,CUST14377,Basic,Yearly,2020-04-24,2021-04-24,500,6000
SUB000116,CUST14292,Standard,Monthly,2020-04-25,2020-05-25,800,800
SUB000117,CUST13912,Premium,Monthly,2020-04-26,2020-05-26,1200,1200
SUB000118,CUST17307,Standard,Monthly,2020-04-27,2020-05-27,800,800
SUB000119,CUST17903,Premium,Monthly,2020-04-28,2020-05-28,1200,1200
SUB000120,CUST19835,Basic,Monthly,2020-04-29,2020-05-29,500,500
SUB000121,CUST05114,Premium,Monthly,2020-04-30,2020-05-30,1200,1200
SUB000122,CUST03339,Basic,Monthly,2020-05-01,2020-05-31,500,500
SUB000123,CUST14935,Basic,Monthly,2020-05-02,2020-06-01,500,500
SUB000124,CUST14998,Standard,Yearly,2020-05-03,2021-05-03,800,9600
SUB000125,CUST15472,Standard,Monthly,2020-05-04,2020-06-03,800,800
SUB000126,CUST08098,Basic,Monthly,2020-05-05,2020-06-04,500,500
SUB000127,CUST06462,Basic,Monthly,2020-05-06,2020-06-05,500,500
SUB000128,CUST08239,Premium,Yearly,2020-05-07,2021-05-07,1200,14400
SUB000129,CUST13605,Basic,Monthly,2020-05-08,2020-06-07,500,500
SUB000130,CUST07142,Premium,Monthly,2020-05-09,2020-06-08,1200,1200
SUB000131,CUST10624,Standard,Monthly,2020-05-10,2020-06-09,800,800
SUB000132,CUST19872,Basic,Monthly,2020-05-11,2020-06-10,500,500
SUB000133,CUST12222,Standard,Monthly,2020-05-12,2020-06-11,800,800
SUB000134,CUST14233,Premium,Yearly,2020-05-13,2021-05-13,1200,14400
SUB000135,CUST18209,Premium,Monthly,2020-05-14,2020-06-13,1200,1200
SUB000136,CUST17140,Basic,Yearly,2020-05-15,2021-05-15,500,6000
SUB000137,CUST15760,Basic,Yearly,2020-05-16,2021-05-16,500,6000
SUB000138,CUST02225,Basic,Monthly,2020-05-17,2020-06-16,500,500
SUB000139,CUST12381,Premium,Monthly,2020-05-18,2020-06-17,1200,1200
SUB000140,CUST06420,Standard,Yearly,2020-05-19,2021-05-19,800,9600
SUB000141,CUST00534,Basic,Monthly,2020-05-20,2020-06-19,500,500
SUB000142,CUST18376,Standard,Yearly,2020-05-21,2021-05-21,800,9600
SUB000143,CUST14519,Basic,Yearly,2020-05-22,2021-05-22,500,6000
SUB000144,CUST00864,Standard,Monthly,2020-05-23,2020-06-22,800,800
SUB000145,CUST13961,Premium,Yearly,2020-05-24,2021-05-24,1200,14400
SUB000146,CUST03027,Basic,Monthly,2020-05-25,2020-06-24,500,500
SUB000147,CUST11476,Premium,Yearly,2020-05-26,2021-05-26,1200,14400
SUB000148,CUST17593,Premium,Yearly,2020-05-27,2021-05-27,1200,14400
SUB000149,CUST13215,Standard,Monthly,2020-05-28,2020-06-27,800,800
SUB000150,CUST17995,Standard,Monthly,2020-05-29,2020-06-28,800,800
SUB000151,CUST11435,Premium,Monthly,2020-05-30,2020-06-29,1200,1200
SUB000152,CUST17482,Basic,Monthly,2020-05-31,2020-06-30,500,500
SUB000153,CUST16637,Standard,Monthly,2020-06-01,2020-07-01,800,800
SUB000154,CUST11145,Premium,Monthly,2020-06-02,2020-07-02,1200,1200
SUB000155,CUST00434,Premium,Monthly,2020-06-03,2020-07-03,1200,1200
SUB000156,CUST18341,Premium,Monthly,2020-06-04,2020-07-04,1200,1200
SUB000157,CUST19173,Basic,Monthly,2020-06-05,2020-07-05,500,500
SUB000158,CUST09415,Standard,Monthly,2020-06-06,2020-07-06,800,800
SUB000159,CUST00084,Standard,Monthly,2020-06-07,2020-07-07,800,800
SUB000160,CUST05777,Premium,Monthly,2020-06-08,2020-07-08,1200,1200
SUB000161,CUST03046,Basic,Monthly,2020-06-09,2020-07-09,500,500
SUB000162,CUST07629,Premium,Yearly,2020-06-10,2021-06-10,1200,14400
SUB000163,CUST04016,Standard,Yearly,2020-06-11,2021-06-11,800,9600
SUB000164,CUST02559,Basic,Monthly,2020-06-12,2020-07-12,500,500
SUB000165,CUST10498,Premium,Yearly,2020-06-13,2021-06-13,1200,14400
SUB000166,CUST02277,Standard,Monthly,2020-06-14,2020-07-14,800,800
SUB000167,CUST04394,Standard,Monthly,2020-06-15,2020-07-15,800,800
SUB000168,CUST19050,Standard,Yearly,2020-06-16,2021-06-16,800,9600
SUB000169,CUST16889,Basic,Yearly,2020-06-17,2021-06-17,500,6000
SUB000170,CUST09977,Basic,Yearly,2020-06-18,2021-06-18,500,6000
SUB000171,CUST06584,Standard,Yearly,2020-06-19,2021-06-19,800,9600
SUB000172,CUST09801,Standard,Monthly,2020-06-20,2020-07-20,800,800
SUB000173,CUST17325,Basic,Yearly,2020-06-21,2021-06-21,500,6000
SUB000174,CUST04258,Premium,Monthly,2020-06-22,2020-07-22,1200,1200
SUB000175,CUST04703,Premium,Monthly,2020-06-23,2020-07-23,1200,1200
SUB000176,CUST04954,Premium,Monthly,2020-06-24,2020-07-24,1200,1200
SUB000177,CUST01913,Standard,Yearly,2020-06-25,2021-06-25,800,9600
SUB000178,CUST16357,Standard,Monthly,2020-06-26,2020-07-26,800,800
SUB000179,CUST09964,Basic,Yearly,2020-06-27,2021-06-27,500,6000
SUB000180,CUST12308,Standard,Monthly,2020-06-28,2020-07-28,800,800
SUB000181,CUST00402,Premium,Yearly,2020-06-29,2021-06-29,1200,14400
SUB000182,CUST13756,Standard,Monthly,2020-06-30,2020-07-30,800,800
SUB000183,CUST19829,Premium,Monthly,2020-07-01,2020-07-31,1200,1200
SUB000184,CUST09753,Basic,Monthly,2020-07-02,2020-08-01,500,500
SUB000185,CUST15644,Basic,Monthly,2020-07-03,2020-08-02,500,500
SUB000186,CUST09706,Basic,Yearly,2020-07-04,2021-07-04,500,6000
SUB000187,CUST03348,Basic,Monthly,2020-07-05,2020-08-04,500,500
SUB000188,CUST17734,Basic,Monthly,2020-07-06,2020-08-05,500,500
SUB000189,CUST14885,Standard,Yearly,2020-07-07,2021-07-07,800,9600
SUB000190,CUST19472,Premium,Monthly,2020-07-08,2020-08-07,1200,1200
SUB000191,CUST02231,Premium,Yearly,2020-07-09,2021-07-09,1200,14400
SUB000192,CUST01792,Premium,Monthly,2020-07-10,2020-08-09,1200,1200
SUB000193,CUST04120,Standard,Monthly,2020-07-11,2020-08-10,800,800
SUB000194,CUST15955,Premium,Monthly,2020-07-12,2020-08-11,1200,1200
SUB000195,CUST10476,Premium,Monthly,2020-07-13,2020-08-12,1200,1200
SUB000196,CUST09993,Standard,Yearly,2020-07-14,2021-07-14,800,9600
SUB000197,CUST16116,Premium,Monthly,2020-07-15,2020-08-14,1200,1200
SUB000198,CUST12665,Standard,Monthly,2020-07-16,2020-08-15,800,800
SUB000199,CUST04045,Premium,Yearly,2020-07-17,2021-07-17,1200,14400
SUB000200,CUST07475,Basic,Monthly,2020-07-18,2020-08-17,500,500
SUB000201,CUST01342,Basic,Monthly,2020-07-19,2020-08-18,500,500
SUB000202,CUST19199,Standard,Yearly,2020-07-20,2021-07-20,800,9600
SUB000203,CUST11509,Standard,Monthly,2020-07-21,2020-08-20,800,800
SUB000204,CUST08323,Standard,Monthly,2020-07-22,2020-08-21,800,800
SUB000205,CUST13232,Standard,Monthly,2020-07-23,2020-08-22,800,800
SUB000206,CUST05545,Basic,Monthly,2020-07-24,2020-08-23,500,500
SUB000207,CUST15703,Basic,Monthly,2020-07-25,2020-08-24,500,500
SUB000208,CUST04315,Basic,Monthly,2020-07-26,2020-08-25,500,500
SUB000209,CUST09801,Standard,Monthly,2020-07-27,2020-08-26,800,800
SUB000210,CUST08389,Basic,Monthly,2020-07-28,2020-08-27,500,500
SUB000211,CUST05981,Basic,Yearly,2020-07-29,2021-07-29,500,6000
SUB000212,CUST04714,Standard,Monthly,2020-07-30,2020-08-29,800,800
SUB000213,CUST18020,Standard,Monthly,2020-07-31,2020-08-30,800,800
SUB000214,CUST10936,Premium,Monthly,2020-08-01,2020-08-31,1200,1200
SUB000215,CUST13132,Basic,Monthly,2020-08-02,2020-09-01,500,500
SUB000216,CUST13390,Standard,Monthly,2020-08-03,2020-09-02,800,800
SUB000217,CUST13967,Basic,Yearly,2020-08-04,2021-08-04,500,6000
SUB000218,CUST01395,Basic,Monthly,2020-08-05,2020-09-04,500,500
SUB000219,CUST18821,Basic,Monthly,2020-08-06,2020-09-05,500,500
SUB000220,CUST01836,Basic,Yearly,2020-08-07,2021-08-07,500,6000
SUB000221,CUST10755,Standard,Yearly,2020-08-08,2021-08-08,800,9600
SUB000222,CUST08239,Premium,Yearly,2020-08-09,2021-08-09,1200,14400
SUB000223,CUST07948,Basic,Yearly,2020-08-10,2021-08-10,500,6000
SUB000224,CUST17436,Premium,Yearly,2020-08-11,2021-08-11,1200,14400
SUB000225,CUST05297,Basic,Yearly,2020-08-12,2021-08-12,500,6000
SUB000226,CUST14423,Premium,Monthly,2020-08-13,2020-09-12,1200,1200
SUB000227,CUST08879,Standard,Monthly,2020-08-14,2020-09-13,800,800
SUB000228,CUST09803,Basic,Yearly,2020-08-15,2021-08-15,500,6000
SUB000229,CUST02910,Basic,Monthly,2020-08-16,2020-09-15,500,500
SUB000230,CUST00758,Premium,Monthly,2020-08-17,2020-09-16,1200,1200
SUB000231,CUST08246,Standard,Monthly,2020-08-18,2020-09-17,800,800
SUB000232,CUST10323,Basic,Monthly,2020-08-19,2020-09-18,500,500
SUB000233,CUST14880,Premium,Yearly,2020-08-20,2021-08-20,1200,14400
SUB000234,CUST06529,Standard,Yearly,2020-08-21,2021-08-21,800,9600
SUB000235,CUST10128,Standard,Monthly,2020-08-22,2020-09-21,800,800
SUB000236,CUST06667,Premium,Monthly,2020-08-23,2020-09-22,1200,1200
SUB000237,CUST06367,Standard,Monthly,2020-08-24,2020-09-23,800,800
SUB000238,CUST10081,Basic,Monthly,2020-08-25,2020-09-24,500,500
SUB000239,CUST08100,Standard,Monthly,2020-08-26,2020-09-25,800,800
SUB000240,CUST18718,Standard,Monthly,2020-08-27,2020-09-26,800,800
SUB000241,CUST17988,Basic,Yearly,2020-08-28,2021-08-28,500,6000
SUB000242,CUST06968,Basic,Monthly,2020-08-29,2020-09-28,500,500
SUB000243,CUST11874,Standard,Monthly,2020-08-30,2020-09-29,800,800
SUB000244,CUST06911,Premium,Monthly,2020-08-31,2020-09-30,1200,1200
SUB000245,CUST13470,Basic,Monthly,2020-09-01,2020-10-01,500,500
SUB000246,CUST04365,Basic,Yearly,2020-09-02,2021-09-02,500,6000
SUB000247,CUST17292,Premium,Monthly,2020-09-03,2020-10-03,1200,1200
SUB000248,CUST03452,Basic,Monthly,2020-09-04,2020-10-04,500,500
SUB000249,CUST09248,Premium,Monthly,2020-09-05,2020-10-05,1200,1200
SUB000250,CUST02141,Basic,Monthly,2020-09-06,2020-10-06,500,500
SUB000251,CUST15870,Standard,Monthly,2020-09-07,2020-10-07,800,800
SUB000252,CUST11042,Standard,Monthly,2020-09-08,2020-10-08,800,800
SUB000253,CUST16979,Premium,Monthly,2020-09-09,2020-10-09,1200,1200
SUB000254,CUST07948,Standard,Monthly,2020-09-10,2020-10-10,800,800
SUB000255,CUST17924,Premium,Monthly,2020-09-11,2020-10-11,1200,1200
SUB000256,CUST08346,Standard,Monthly,2020-09-12,2020-10-12,800,800
SUB000257,CUST07872,Premium,Monthly,2020-09-13,2020-10-13,1200,1200
SUB000258,CUST00418,Premium,Monthly,2020-09-14,2020-10-14,1200,1200
SUB000259,CUST04349,Standard,Monthly,2020-09-15,2020-10-15,800,800
SUB000260,CUST15649,Basic,Monthly,2020-09-16,2020-10-16,500,500
SUB000261,CUST06912,Basic,Monthly,2020-09-17,2020-10-17,500,500
SUB000262,CUST10399,Premium,Monthly,2020-09-18,2020-10-18,1200,1200
SUB000263,CUST03864,Premium,Yearly,2020-09-19,2021-09-19,1200,14400
SUB000264,CUST04531,Standard,Yearly,2020-09-20,2021-09-20,800,9600
SUB000265,CUST03426,Standard,Yearly,2020-09-21,2021-09-21,800,9600
SUB000266,CUST01006,Standard,Monthly,2020-09-22,2020-10-22,800,800
SUB000267,CUST09224,Premium,Monthly,2020-09-23,2020-10-23,1200,1200
SUB000268,CUST06251,Standard,Monthly,2020-09-24,2020-10-24,800,800
SUB000269,CUST02980,Standard,Yearly,2020-09-25,2021-09-25,800,9600
SUB000270,CUST11869,Standard,Monthly,2020-09-26,2020-10-26,800,800
SUB000271,CUST13027,Premium,Yearly,2020-09-27,2021-09-27,1200,14400
SUB000272,CUST00440,Premium,Monthly,2020-09-28,2020-10-28,1200,1200
SUB000273,CUST18222,Standard,Monthly,2020-09-29,2020-10-29,800,800
SUB000274,CUST03210,Premium,Yearly,2020-09-30,2021-09-30,1200,14400
SUB000275,CUST15718,Basic,Monthly,2020-10-01,2020-10-31,500,500
SUB000276,CUST13130,Premium,Yearly,2020-10-02,2021-10-02,1200,14400
SUB000277,CUST17279,Standard,Monthly,2020-10-03,2020-11-02,800,800
SUB000278,CUST17035,Standard,Yearly,2020-10-04,2021-10-04,800,9600
SUB000279,CUST09284,Premium,Yearly,2020-10-05,2021-10-05,1200,14400
SUB000280,CUST12434,Standard,Monthly,2020-10-06,2020-11-05,800,800
SUB000281,CUST12672,Basic,Monthly,2020-10-07,2020-11-06,500,500
SUB000282,CUST10708,Standard,Monthly,2020-10-08,2020-11-07,800,800
SUB000283,CUST15871,Premium,Monthly,2020-10-09,2020-11-08,1200,1200
SUB000284,CUST04986,Premium,Yearly,2020-10-10,2021-10-10,1200,14400
SUB000285,CUST02563,Premium,Monthly,2020-10-11,2020-11-10,1200,1200
SUB000286,CUST03784,Premium,Monthly,2020-10-12,2020-11-11,1200,1200
SUB000287,CUST10990,Standard,Monthly,2020-10-13,2020-11-12,800,800
SUB000288,CUST16439,Premium,Monthly,2020-10-14,2020-11-13,1200,1200
SUB000289,CUST09286,Premium,Monthly,2020-10-15,2020-11-14,1200,1200
SUB000290,CUST10105,Basic,Monthly,2020-10-16,2020-11-15,500,500
SUB000291,CUST17902,Standard,Yearly,2020-10-17,2021-10-17,800,9600
SUB000292,CUST13600,Basic,Monthly,2020-10-18,2020-11-17,500,500
SUB000293,CUST04870,Standard,Yearly,2020-10-19,2021-10-19,800,9600
SUB000294,CUST05008,Premium,Yearly,2020-10-20,2021-10-20,1200,14400
SUB000295,CUST13297,Standard,Monthly,2020-10-21,2020-11-20,800,800
SUB000296,CUST11202,Premium,Monthly,2020-10-22,2020-11-21,1200,1200
SUB000297,CUST02266,Premium,Monthly,2020-10-23,2020-11-22,1200,1200
SUB000298,CUST08916,Basic,Monthly,2020-10-24,2020-11-23,500,500
SUB000299,CUST16085,Standard,Yearly,2020-10-25,2021-10-25,800,9600
SUB000300,CUST19774,Standard,Yearly,2020-10-26,2021-10-26,800,9600
SUB000301,CUST13970,Premium,Yearly,2020-10-27,2021-10-27,1200,14400
SUB000302,CUST04360,Basic,Monthly,2020-10-28,2020-11-27,500,500
SUB000303,CUST12632,Basic,Yearly,2020-10-29,2021-10-29,500,6000
SUB000304,CUST09693,Premium,Monthly,2020-10-30,2020-11-29,1200,1200
SUB000305,CUST15163,Basic,Yearly,2020-10-31,2021-10-31,500,6000
SUB000306,CUST07186,Basic,Monthly,2020-11-01,2020-12-01,500,500
SUB000307,CUST18222,Basic,Monthly,2020-11-02,2020-12-02,500,500
SUB000308,CUST14203,Premium,Yearly,2020-11-03,2021-11-03,1200,14400
SUB000309,CUST15570,Basic,Monthly,2020-11-04,2020-12-04,500,500
SUB000310,CUST08624,Premium,Monthly,2020-11-05,2020-12-05,1200,1200
SUB000311,CUST18204,Premium,Yearly,2020-11-06,2021-11-06,1200,14400
SUB000312,CUST16165,Premium,Monthly,2020-11-07,2020-12-07,1200,1200
SUB000313,CUST18762,Standard,Yearly,2020-11-08,2021-11-08,800,9600
SUB000314,CUST04372,Premium,Monthly,2020-11-09,2020-12-09,1200,1200
SUB000315,CUST17830,Standard,Monthly,2020-11-10,2020-12-10,800,800
SUB000316,CUST07081,Standard,Monthly,2020-11-11,2020-12-11,800,800
SUB000317,CUST18288,Standard,Monthly,2020-11-12,2020-12-12,800,800
SUB000318,CUST18300,Premium,Monthly,2020-11-13,2020-12-13,1200,1200
SUB000319,CUST16318,Basic,Monthly,2020-11-14,2020-12-14,500,500
SUB000320,CUST15083,Standard,Monthly,2020-11-15,2020-12-15,800,800
SUB000321,CUST05268,Standard,Monthly,2020-11-16,2020-12-16,800,800
SUB000322,CUST19506,Basic,Monthly,2020-11-17,2020-12-17,500,500
SUB000323,CUST11051,Standard,Monthly,2020-11-18,2020-12-18,800,800
SUB000324,CUST03966,Standard,Monthly,2020-11-19,2020-12-19,800,800
SUB000325,CUST18537,Standard,Monthly,2020-11-20,2020-12-20,800,800
SUB000326,CUST16676,Premium,Monthly,2020-11-21,2020-12-21,1200,1200
SUB000327,CUST09261,Standard,Monthly,2020-11-22,2020-12-22,800,800
SUB000328,CUST05603,Basic,Yearly,2020-11-23,2021-11-23,500,6000
SUB000329,CUST19613,Basic,Monthly,2020-11-24,2020-12-24,500,500
SUB000330,CUST14561,Standard,Yearly,2020-11-25,2021-11-25,800,9600
SUB000331,CUST14234,Premium,Yearly,2020-11-26,2021-11-26,1200,14400
SUB000332,CUST07048,Standard,Yearly,2020-11-27,2021-11-27,800,9600
SUB000333,CUST11337,Basic,Monthly,2020-11-28,2020-12-28,500,500
SUB000334,CUST09110,Basic,Monthly,2020-11-29,2020-12-29,500,500
SUB000335,CUST11436,Basic,Yearly,2020-11-30,2021-11-30,500,6000
SUB000336,CUST07588,Premium,Monthly,2020-12-01,2020-12-31,1200,1200
SUB000337,CUST10976,Standard,Monthly,2020-12-02,2021-01-01,800,800
SUB000338,CUST15596,Standard,Monthly,2020-12-03,2021-01-02,800,800
SUB000339,CUST13933,Premium,Monthly,2020-12-04,2021-01-03,1200,1200
SUB000340,CUST17387,Standard,Monthly,2020-12-05,2021-01-04,800,800
SUB000341,CUST16145,Standard,Yearly,2020-12-06,2021-12-06,800,9600
SUB000342,CUST10620,Basic,Monthly,2020-12-07,2021-01-06,500,500
SUB000343,CUST01540,Standard,Monthly,2020-12-08,2021-01-07,800,800
SUB000344,CUST08276,Standard,Monthly,2020-12-09,2021-01-08,800,800
SUB000345,CUST18321,Basic,Monthly,2020-12-10,2021-01-09,500,500
SUB000346,CUST19670,Standard,Monthly,2020-12-11,2021-01-10,800,800
SUB000347,CUST19847,Standard,Monthly,2020-12-12,2021-01-11,800,800
SUB000348,CUST18791,Standard,Monthly,2020-12-13,2021-01-12,800,800
